cycle,range_bin,doppler_bin,output_hex
1039185000,0,0,0079ff28
1039195000,0,1,ffb70162
1039205000,0,2,0160fe94
1039215000,0,3,ffec018d
1039225000,0,4,fce2ff49
1039235000,0,5,04bc00ba
1039245000,0,6,fd190095
1039255000,0,7,00c5fde4
1039265000,0,8,ff2700e6
1039275000,0,9,01f50088
1039285000,0,10,fdebfe16
1039295000,0,11,018b046a
1039305000,0,12,ff25fc78
1039315000,0,13,005f009e
1039325000,0,14,0022feec
1039335000,0,15,00040178
1039345000,0,16,008bff32
1039355000,0,17,fec50166
1039365000,0,18,00c0fee2
1039375000,0,19,fffc007b
1039385000,0,20,ffdaffaf
1039395000,0,21,ffbcff6e
1039405000,0,22,009bffa9
1039415000,0,23,fe250042
1039425000,0,24,02c50214
1039435000,0,25,fec7fe3c
1039445000,0,26,00310040
1039455000,0,27,0039fff2
1039465000,0,28,ff5fffec
1039475000,0,29,ffc1001e
1039485000,0,30,01deff3a
1039495000,0,31,fd7600ae
1044575000,1,0,ff4b01a0
1044585000,1,1,012cff50
1044595000,1,2,00dd006e
1044605000,1,3,ff1a0098
1044615000,1,4,ff76ff9f
1044625000,1,5,01acff0f
1044635000,1,6,fe410044
1044645000,1,7,0029012e
1044655000,1,8,ffd4fe99
1044665000,1,9,00820162
1044675000,1,10,0048fe42
1044685000,1,11,ffaf0316
1044695000,1,12,003ffd75
1044705000,1,13,ff1aff0e
1044715000,1,14,016c0259
1044725000,1,15,000bfe94
1044735000,1,16,fe6d006e
1044745000,1,17,012c008c
1044755000,1,18,ff2dff8e
1044765000,1,19,008e009c
1044775000,1,20,fe20ffb3
1044785000,1,21,02faff81
1044795000,1,22,ff1b0136
1044805000,1,23,fe4dfcf0
1044815000,1,24,040003c5
1044825000,1,25,fc86febe
1044835000,1,26,01c2ff82
1044845000,1,27,ff010016
1044855000,1,28,002f007d
1044865000,1,29,0058ff16
1044875000,1,30,00e400cd
1044885000,1,31,fe5ffe2e
1049965000,2,0,003aff8c
1049975000,2,1,0044003b
1049985000,2,2,010b003d
1049995000,2,3,ff06001e
1050005000,2,4,fe39ffd4
1050015000,2,5,02be0202
1050025000,2,6,fee5fe38
1050035000,2,7,00c7001e
1050045000,2,8,fdca001b
1050055000,2,9,023e009a
1050065000,2,10,007dfe1b
1050075000,2,11,fe800193
1050085000,2,12,00c8ffe2
1050095000,2,13,fe91fe5c
1050105000,2,14,0227018d
1050115000,2,15,ff23fff7
1050125000,2,16,fec60064
1050135000,2,17,0258fe83
1050145000,2,18,fda301b1
1050155000,2,19,013eff1a
1050165000,2,20,003fff16
1050175000,2,21,fe24015e
1050185000,2,22,01b7ffc2
1050195000,2,23,ff27ff94
1050205000,2,24,011e00fd
1050215000,2,25,ff76fe84
1050225000,2,26,006d0143
1050235000,2,27,ff2cfe0d
1050245000,2,28,00f803dc
1050255000,2,29,fe15fd20
1050265000,2,30,027500bd
1050275000,2,31,fe37ff87
1055355000,3,0,0066ffac
1055365000,3,1,00d8ffd6
1055375000,3,2,ff16010e
1055385000,3,3,013dffa2
1055395000,3,4,fce2ffa0
1055405000,3,5,03aa01ec
1055415000,3,6,fe59fdbb
1055425000,3,7,009100da
1055435000,3,8,ff62011f
1055445000,3,9,0063fe6b
1055455000,3,10,ffd4007d
1055465000,3,11,ffde0024
1055475000,3,12,0080ffba
1055485000,3,13,ff32fe3b
1055495000,3,14,01500202
1055505000,3,15,fe9d00f2
1055515000,3,16,0286ff02
1055525000,3,17,fc86004e
1055535000,3,18,01e6ff7e
1055545000,3,19,fffffff0
1055555000,3,20,ff5cff98
1055565000,3,21,ffd0ff5c
1055575000,3,22,000f023b
1055585000,3,23,0017fe86
